DRUG_ID,ln_IC50_pred,DRUG_NAME,Targets,Target_pathway
171,3.3578057289123535,AKT inhibitor VIII,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
228,3.3578057289123535,AKT inhibitor VIII,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
291,3.3694467544555664,KIN001-266,MAP3K8,ERK MAPK signaling
260,3.3704099655151367,NG-25,"TAK1, MAP4K2","Other, kinases"
1051,3.3801448345184326,Alisertib,AURKA,Mitosis
1924,3.381606101989746,Ipatasertib,"AKT1, AKT, AKT3",PI3K/MTOR signaling
273,3.3835062980651855,CUDC-101,"HDAC1-10, EGFR, ERBB2",Other
1052,3.385321855545044,RO-3306,CDK1,Cell cycle
1262,3.3858911991119385,UNC1215,L3MBTL3,Chromatin other
127,3.40104341506958,GSK269962A,"ROCK1, ROCK2",Cytoskeleton
1192,3.40104341506958,GSK269962A,"ROCK1, ROCK2",Cytoskeleton
1029,3.41862416267395,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling
1009,3.4201223850250244,Tretinoin,Retinoic acid,Other
341,3.449061393737793,Selisistat,SIRT1,Chromatin histone acetylation
147,3.4561054706573486,NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other
1613,3.457214832305908,VE-822,ATR,Genome integrity
34,3.4718501567840576,Imatinib,"ABL, KIT, PDGFR","Other, kinases"
1219,3.472900152206421,PFI-1,BRD4,Chromatin other
1008,3.4733099937438965,Methotrexate,Antimetabolite,DNA replication
303,3.4764301776885986,PIK-93,PI3Kgamma,PI3K/MTOR signaling
2169,3.4854838848114014,AZD6482,PI3Kbeta,PI3K/MTOR signaling
1066,3.4854838848114014,AZD6482,PI3Kbeta,PI3K/MTOR signaling
156,3.4854838848114014,AZD6482,PI3Kbeta,PI3K/MTOR signaling
1013,3.4995460510253906,Nilotinib,ABL,ABL signaling
2047,3.5005288124084473,Ulixertinib,"ERK1, ERK2",ERK MAPK signaling
1908,3.5005288124084473,Ulixertinib,"ERK1, ERK2",ERK MAPK signaling
305,3.5091447830200195,TPCA-1,IKK2,"Other, kinases"
1010,3.509293556213379,Gefitinib,EGFR,EGFR signaling
1014,3.51249623298645,Refametinib,"MEK1, MEK2",ERK MAPK signaling
1526,3.51249623298645,Refametinib,"MEK1, MEK2",ERK MAPK signaling
1175,3.5174949169158936,Rucaparib,"PARP1, PARP2",Genome integrity
292,3.519434690475464,Masitinib,"KIT, PDGFRA, PDGFRB",RTK signaling
158,3.522164821624756,PF-562271,"FAK, FAK2",Cytoskeleton
306,3.528632879257202,Fedratinib,JAK2,"Other, kinases"
258,3.5365335941314697,STF-62247,Autophagy inducer,Other
1079,3.546874761581421,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases"
51,3.546874761581421,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",RTK signaling
91,3.5474112033843994,GSK319347A,IKK,"Other, kinases"
1259,3.550381660461426,Talazoparib,"PARP1, PARP2",Genome integrity
283,3.5547935962677,Omipalisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling
136,3.555109739303589,Mitomycin-C,DNA crosslinker,DNA replication
1199,3.5553109645843506,Tamoxifen,ESR1,Hormone-related
288,3.5609660148620605,WHI-P97,JAK3,"Other, kinases"
203,3.578683376312256,BMS-345541,"IKK1, IKK2","Other, kinases"
1249,3.5849249362945557,BMS-345541,"IKK-1, IKK-2",Other
279,3.5889439582824707,BIX02189,"MEK5, ERK5",ERK MAPK signaling
238,3.600846290588379,Idelalisib,PI3Kdelta,PI3K/MTOR signaling
226,3.601844549179077,GSK1070916,"AURKA, AURKC",Mitosis
1037,3.6070806980133057,BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases"
155,3.6085336208343506,Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases"
1939,3.612421989440918,UMI-77,MCL1,Apoptosis regulation
222,3.6174283027648926,BX-912,PDK1 (PDPK1),Metabolism
199,3.61846661567688,Pazopanib,"CSF1R, KIT,  PDGFRA, PDGFRB",RTK signaling
276,3.624175786972046,CAY10603,"HDAC1, HDAC6",Chromatin histone acetylation
230,3.6264402866363525,GSK429286A,"ROCK1, ROCK2",Cytoskeleton
2044,3.6303861141204834,Pyridostatin,G-quadruplex stabiliser,DNA replication
1940,3.648308753967285,WIKI4,"TNKS1, TNKS2",WNT signaling
1050,3.649383306503296,ZM447439,"AURKA, AURKB",Mitosis
277,3.6581201553344727,Linifanib,"VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT",RTK signaling
1242,3.689143657684326,(5Z)-7-Oxozeaenol,TAK1,"Other, kinases"
1626,3.693311929702759,OTX015,"BRD2, BRD3, BRD4",Chromatin other
221,3.698316812515259,TAK-715,"p38alpha, p38beta",JNK and p38 signaling
328,3.700331449508667,SNX-2112,HSP90,Protein stability and degradation
1630,3.716038942337036,Entospletinib,SYK,"Other, kinases"
345,3.717104434967041,KIN001-270,CDK9,Cell cycle
1133,3.7277708053588867,Serdemetan,MDM2,p53 pathway
1560,3.7282681465148926,Alpelisib,PI3Kalpha,PI3K/MTOR signaling
1015,3.7316365242004395,CI-1040,"MEK1, MEK2",ERK MAPK signaling
219,3.748325824737549,AT-7519,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle
262,3.7566182613372803,VX-11e,ERK2,ERK MAPK signaling
2096,3.7566182613372803,VX-11e,ERK2,ERK MAPK signaling
254,3.762827157974243,Quizartinib,FLT3,RTK signaling
200,3.76326322555542,Dacinostat,HDAC1,Chromatin histone acetylation
1558,3.771929979324341,Lapatinib,"EGFR, ERBB2",EGFR signaling
119,3.771929979324341,Lapatinib,"EGFR, ERBB2",RTK signaling
152,3.773534059524536,CP466722,ATM,Genome integrity
1067,3.775115489959717,CCT007093,PPM1D,Cell cycle
1049,3.783888816833496,PD173074,"FGFR1, FGFR2, FGFR3",RTK signaling
1023,3.7842233180999756,GW441756,NTRK1,RTK signaling
1618,3.825838565826416,GSK2606414,PERK,Metabolism
1239,3.8373849391937256,YK-4-279,RNA helicase A,Other
281,3.8414552211761475,Alectinib,ALK,RTK signaling
1046,3.8467044830322266,Wee1 Inhibitor,"WEE1, CHEK1",Cell cycle
87,3.8525984287261963,GW843682X,PLK1,Cell cycle
111,3.8575427532196045,Salubrinal,EIF2A,Other
5,3.8715224266052246,Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling
1853,3.8807475566864014,OF-1,"BRPF1B, BRPF2",Chromatin histone acetylation
1243,3.906891107559204,Piperlongumine,Induces reactive oxygen species,Other
185,3.914487361907959,Linsitinib,IGF1R,IGF1R signaling
1510,3.914487361907959,Linsitinib,IGF1R,IGF1R signaling
1624,3.9212777614593506,I-BET-762,"BRD2, BRD3, BRD4",Chromatin other
275,3.9212777614593506,I-BET-762,"BRD2, BRD3, BRD4",Chromatin other
1129,3.921577215194702,PF-4708671,S6K1,PI3K/MTOR signaling
255,3.9424116611480713,CP724714,ERBB2,RTK signaling
1089,3.948505163192749,Oxaliplatin,DNA alkylating agent,DNA replication
1614,3.9608147144317627,WZ4003,"NUAK1, NUAK2","Other, kinases"
170,3.9678900241851807,Shikonin,not defined,Other
265,3.9827609062194824,Tubastatin A,"HDAC1, HDAC6, HDAC8",Chromatin histone acetylation
1083,3.989011764526367,Crizotinib,"MET, ALK, ROS1",RTK signaling
37,3.989011764526367,Crizotinib,"MET, ALK, ROS1",RTK signaling
1598,3.9984536170959473,LGK974,PORCN,WNT signaling
1564,4.0081400871276855,SCH772984,"ERK1, ERK2",ERK MAPK signaling
1494,4.011990547180176,SN-38,TOP1,DNA replication
71,4.021667957305908,Pyrimethamine,Dihydrofolate reductase (DHFR),Other
298,4.023651599884033,OSI-930,KIT,RTK signaling
1996,4.0730881690979,MIM1,MCL1,Apoptosis regulation
1114,4.075368404388428,Cetuximab,EGFR,EGFR signaling
45,4.087120532989502,Z-LLNle-CHO,gamma-secretase,Other
35,4.090864658355713,NVP-TAE684,ALK,RTK signaling
1047,4.093291759490967,Nutlin-3a (-),MDM2,p53 pathway
89,4.105368614196777,Parthenolide,HDAC1,Chromatin histone acetylation
1005,4.10555362701416,Cisplatin,DNA crosslinker,DNA replication
1634,4.107151508331299,AGI-6780,IDH2 R140Q mutant,Metabolism
1997,4.109530925750732,WEHI-539,BCL-XL,Apoptosis regulation
294,4.113481521606445,MPS-1-IN-1,MPS1,Mitosis
186,4.117156982421875,Bexarotene,Retinioic X receptor (RXR) agonist,Other
1093,4.117351055145264,GSK1904529A,"IGF1R, IR",IGF1R signaling
202,4.117351055145264,GSK1904529A,"IGF1R, IR",RTK signaling
1502,4.122425079345703,Bicalutamide,AR,Hormone-related
150,4.122425079345703,Bicalutamide,AR,Hormone-related
176,4.1382951736450195,IPA-3,PAK1,Cytoskeleton
1933,4.142497539520264,P22077,"USP7, USP47",Protein stability and degradation
1622,4.143418312072754,Wnt-C59,PORCN,WNT signaling
269,4.155013561248779,NSC-207895,MDM4,p53 pathway
196,4.214842796325684,Phenformin,Biguanide agent,Other
1088,4.220643043518066,Irinotecan,TOP1,DNA replication
178,4.222927093505859,BAY-61-3606,SYK,"Other, kinases"
192,4.268369674682617,LFM-A13,BTK,"Other, kinases"
1230,4.268803119659424,IOX2,EGLN1,Other
1632,4.275193691253662,Ribociclib,"CDK4, CDK6",Cell cycle
1928,4.293030261993408,I-BRD9,BRD9,Chromatin other
1177,4.30578088760376,Niraparib,"PARP1, PARP2",Genome integrity
1629,4.343645095825195,ML323,"USP1, UAF1",Protein stability and degradation
1268,4.358717918395996,XAV939,"TNKS1, TNKS2",WNT signaling
1855,4.38251256942749,KRAS (G12C) Inhibitor-12,KRAS (G12C),ERK MAPK signaling
1020,4.389388084411621,Lenalidomide,CRBN,Protein stability and degradation
2043,4.443136215209961,BIBR-1532,TERT,Genome integrity
272,4.454202651977539,AR-42,HDAC1,Chromatin histone acetylation
1017,4.455798625946045,Olaparib,"PARP1, PARP2",Genome integrity
1495,4.455798625946045,Olaparib,"PARP1, PARP2",Genome integrity
1549,4.46851921081543,Sapitinib,"EGFR, ERBB2, ERBB3",EGFR signaling
2111,4.473307132720947,VE821,ATR,Genome integrity
1042,4.51001501083374,Doramapimod,"p38, JNK2",JNK and p38 signaling
166,4.532577991485596,FTI-277,Farnesyl-transferase (FNTA),Other
1799,4.542477130889893,Ibrutinib,BTK,"Other, kinases"
1621,4.546172142028809,PCI-34051,"HDAC8, HDAC6, HDAC1",Chromatin histone acetylation
1854,4.546885967254639,MN-64,"TNKS1, TNKS2",WNT signaling
1594,4.550972938537598,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling
299,4.550972938537598,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling
1913,4.5638604164123535,AGI-5198,IDH1 (R132H),Metabolism
1054,4.583288669586182,Palbociclib,"CDK4, CDK6",Cell cycle
205,4.589530944824219,Avagacestat,"Amyloid beta20, Amyloid beta40",Other
1072,4.589530944824219,Avagacestat,"Amyloid beta20, Amyloid beta40",Other
1131,4.610400199890137,PRIMA-1MET,TP53 activation,p53 pathway
1925,4.667013645172119,GDC0810,"ESR1, ESR2",Hormone-related
1927,4.668636798858643,GSK2578215A,LRRK2,"Other, kinases"
1625,4.671603679656982,RVX-208,BRD4,Chromatin other
263,4.6773810386657715,FR-180204,"ERK1, ERK2",ERK MAPK signaling
172,4.679013729095459,Embelin,XIAP,Apoptosis regulation
290,4.679591178894043,KIN001-260,IKKB,"Other, kinases"
52,4.683493137359619,GNF-2,BCR-ABL,ABL signaling
1030,4.698249340057373,KU-55933,ATM,Genome integrity
1507,4.699965953826904,Ruxolitinib,"JAK1, JAK2","Other, kinases"
206,4.699965953826904,Ruxolitinib,"JAK1, JAK2","Other, kinases"
333,4.73694372177124,T0901317,"LXR, FXR",Other
1069,4.7396979331970215,EHT-1864,"RAC1, RAC2, RAC3",Cytoskeleton
301,4.778222560882568,PHA-793887,"CDK2, CDK7, CDK5",Cell cycle
2045,4.784010887145996,AMG-319,PI3K (beta sparing),PI3K/MTOR signaling
1578,4.902093410491943,Leflunomide,Pyrimidine synthesis inhibitor,DNA replication
2110,4.915787696838379,GSK591,PMRT5,Chromatin histone methylation
157,4.933434963226318,JNK-9L,"JNK2, JNK3",JNK and p38 signaling
1615,4.947959899902344,CZC24832,PI3Kgamma,PI3K/MTOR signaling
1373,4.949407577514648,Dabrafenib,BRAF,ERK MAPK signaling
1036,4.960196018218994,PLX-4720,BRAF,ERK MAPK signaling
1371,4.960196018218994,PLX-4720,BRAF,ERK MAPK signaling
1557,4.97442102432251,LCL161,"XIAP, IAP1, IAP2",Apoptosis regulation
2107,4.990920543670654,LJI308,"RSK2, RSK1, RSK3",PI3K/MTOR signaling
1852,4.997180461883545,LY2109761,TGFB1,Other
1264,5.013717174530029,SGC0946,DOT1L,Chromatin histone methylation
1237,5.015971660614014,EPZ004777,DOT1L,Chromatin histone methylation
1512,5.042656898498535,Cyclophosphamide,Alkylating agent,DNA replication
1635,5.053863048553467,Picolinici-acid,Inflammatory related,Other
1025,5.114066123962402,SB216763,"GSK3A, GSK3B",WNT signaling
1931,5.156854629516602,MIRA-1,TP53,p53 pathway
1530,5.217426300048828,PFI-3,"SMARCA2, SMARCA4, PB1",Chromatin other
1620,5.217426300048828,PFI3,"Polybromo 1, SMARCA4, SMARCA2",Chromatin other
179,5.367084503173828,5-Fluorouracil,Antimetabolite (DNA & RNA),Other
1073,5.367084503173828,5-Fluorouracil,Antimetabolite (DNA & RNA),Other
1563,5.367918014526367,EPZ5676,DOT1L,Chromatin histone methylation
1375,5.790086269378662,Temozolomide,DNA alkylating agent,DNA replication
